,kids_per_dad_age,dnms_per_dad_age,dnm_rate_per_dad_age,parent_ages
17,335,23,0.06865671641791045,17
25,1065,92,0.0863849765258216,25
30,1666,127,0.07623049219687875,30
35,1113,90,0.08086253369272237,35
40,522,45,0.08620689655172414,40

