Probands,Siblings,Proband rate,Sibling rate,padj,Sizes
56,57,0.13658536585365855,0.18152866242038215,0.2782931956341742,<-100
59,69,0.14390243902439023,0.2197452229299363,0.0673800906265978,100-1Kb
114,104,0.2780487804878049,0.33121019108280253,0.3319530499364981,1Kb-10Kb
69,47,0.16829268292682928,0.14968152866242038,0.6139258249560507,10Kb-100Kb
64,24,0.15609756097560976,0.07643312101910828,0.012135803398786163,100Kb-1Mb
48,13,0.11707317073170732,0.041401273885350316,0.003943109923767972,1Mb->

